Apellido,Personas,Porcentaje
UJUETA,16,0.01
CHAMBERS,16,0.01
PETERS,16,0.01
FITORIA,16,0.01
STEPHENSON,16,0.01
ARBOINE,16,0.01
CHIA,16,0.01
MATHEWS,16,0.01
ISAAC,16,0.01
LAZARUS,16,0.01
KENTON,16,0.01
MANTLE,16,0.01
CHANA,16,0.01
GARDNER,16,0.01
WATERS,16,0.01
DILBERT,16,0.01
ONIEL,16,0.01
PETTERSON,16,0.01
ROLDAN,15,0.01
VIVES,15,0.01
LAZARO,15,0.01
BERRIOS,15,0.01
DITTEL,15,0.01
MALESPIN,15,0.01
ESPINOSA,15,0.01
CARDOZA,15,0.01
PASTOR,15,0.01
LEVY,15,0.01
LOGAN,15,0.01
WASHINGTON,15,0.01
LORIO,15,0.01
NICHOLSON,15,0.01
ALMENDARES,15,0.01
WARD,15,0.01
FREEMAN,15,0.01
BLAIR,15,0.01
PEART,15,0.01
LACEY,15,0.01
MITCHEL,15,0.01
GIBB,15,0.01
GRENALD,15,0.01
HADDEN,15,0.01
SERRUT,15,0.01
HILTON,15,0.01
OREGON,15,0.01
LEMONES,15,0.01
ARCIA,14,0.00
PORTILLO,14,0.00
OLMOS,14,0.00
TOBAL,14,0.00
TURCIOS,14,0.00
MAY,14,0.00
SOBALVARRO,14,0.00
CARDENAL,14,0.00
PORTA,14,0.00
ESPELETA,14,0.00
BETANCO,14,0.00
AMORETTI,14,0.00
VINCENT,14,0.00
LA TOUCHE,14,0.00
CASTROVERDE,14,0.00
MILLS,14,0.00
CROOKS,14,0.00
MOLANO,14,0.00
GOULBOURNE,14,0.00
MURDOCK,14,0.00
HERMAN,14,0.00
POMIER,14,0.00
CHIVI,14,0.00
PENNANT,14,0.00
MOISES,14,0.00
DOYLEY,14,0.00
SUCRE,14,0.00
CHANG,13,0.00
DELGADILLO,13,0.00
LARGAESPADA,13,0.00
BALDI,13,0.00
LANUZA,13,0.00
PITTI,13,0.00
NOEL,13,0.00
LAURENT,13,0.00
CARCAMO,13,0.00
ANDINO,13,0.00
BERTARIONI,13,0.00
PRUDENTE,13,0.00
GAGO,13,0.00
BUCARDO,13,0.00
REQUENES,13,0.00
SANTANDER,13,0.00
ON,13,0.00
RILEY,13,0.00
MONJARREZ,13,0.00
BARNES,13,0.00
CADRANO,13,0.00
SWABY,13,0.00
AVALO,13,0.00
CAVALARI,13,0.00
MATTIS,13,0.00
CUNNINGHAN,13,0.00
RODNEY,13,0.00
ELIS,13,0.00
WESTNEY,13,0.00
MC COOK,13,0.00
MOODIE,13,0.00
MURIEL,13,0.00
HART,13,0.00
FLATTS,13,0.00
MOLNAR,13,0.00
ÑANGO,13,0.00
CALIMORE,13,0.00
GALLIMORE,13,0.00
HANCEL,13,0.00
CALLIMORE,13,0.00
SHORLY,13,0.00
SISTRO,13,0.00
GLACHINS,13,0.00
NIETO,12,0.00
ERAS,12,0.00
TOLEDO,12,0.00
MORUN,12,0.00
ALGUERA,12,0.00
BARBERENA,12,0.00
BORGES,12,0.00
BENITEZ,12,0.00
MUÑIZ,12,0.00
VIGIL,12,0.00
ALI,12,0.00
GALIANO,12,0.00
LONDOÑO,12,0.00
NAJAR,12,0.00
TRIGUERO,12,0.00
MUIR,12,0.00
VASCONCELOS,12,0.00
FERRUFINO,12,0.00
LUCAS,12,0.00
MARICHAL,12,0.00
BLACK,12,0.00
BAARS,12,0.00
BARLEY,12,0.00
BALDIVIA,12,0.00
LONEY,12,0.00
BURR,12,0.00
PAUL,12,0.00
CERRUD,12,0.00
COPE,12,0.00
MAN,12,0.00
STEWARD,12,0.00
GRAINGER,12,0.00
RONY,12,0.00
CANE,12,0.00
CHALE,12,0.00
HOWLETT,12,0.00
ALLETTE,12,0.00
MORRY,12,0.00
FURTADO,12,0.00
SKEELING,12,0.00
CALVIN,12,0.00
CERRU,12,0.00
PASCACIO,12,0.00
BAYLES,12,0.00
PITAR,12,0.00
