Apellido,Personas,Porcentaje
PONCE,224,0.02
TIJERINO,223,0.02
COLLADO,223,0.02
ANDRADE,222,0.02
SALGUERO,220,0.02
CABALCETA,218,0.02
CARAVACA,216,0.02
THOMAS,213,0.02
CHANG,213,0.02
WILLIAMS,212,0.02
ILAMA,212,0.02
MONTEALEGRE,209,0.02
VILLAFUERTE,208,0.02
LAZO,207,0.02
GUERRA,206,0.02
CANTILLANO,202,0.02
GUARDIA,202,0.02
TAMES,201,0.02
RUEDA,200,0.02
PHILLIPS,200,0.02
QUINTANA,199,0.02
BOLIVAR,197,0.02
ALCAZAR,195,0.02
VALENCIA,194,0.02
BRIONES,191,0.02
OLIVAS,190,0.02
LEE,190,0.02
SELVA,187,0.02
VICTOR,186,0.02
TORUÑO,185,0.02
MERCADO,184,0.02
SARAVIA,182,0.02
REY,181,0.02
DOMINGUEZ,179,0.02
ABURTO,179,0.02
OSES,178,0.02
DINARTE,176,0.02
MACHADO,176,0.02
MORGAN,176,0.02
GRANT,175,0.02
SALINAS,174,0.02
MANZANARES,174,0.02
JENKINS,174,0.02
SANDINO,173,0.01
DE LA O,172,0.01
ALONSO,172,0.01
JOHNSON,171,0.01
LEWIS,169,0.01
PINTO,168,0.01
LOAICIGA,166,0.01
TRAÑA,165,0.01
ATENCIO,163,0.01
ORIAS,163,0.01
QUINTANILLA,163,0.01
BARRERA,162,0.01
THOMPSON,162,0.01
NIETO,162,0.01
MENDIETA,162,0.01
PARRALES,161,0.01
VALLECILLO,160,0.01
RUGAMA,159,0.01
GALLARDO,159,0.01
BASTOS,158,0.01
PAVON,158,0.01
ALEGRIA,158,0.01
WILSON,157,0.01
BORGE,157,0.01
LEZCANO,156,0.01
MONCADA,155,0.01
AMPIE,153,0.01
CAJINA,153,0.01
CAMARENO,152,0.01
VILLAVICENCIO,152,0.01
MEOÑO,152,0.01
TALAVERA,151,0.01
GAMEZ,151,0.01
OSORIO,150,0.01
AYMERICH,150,0.01
GALLO,149,0.01
GOÑI,149,0.01
BETANCOURT,146,0.01
HENRIQUEZ,146,0.01
AREVALO,146,0.01
VILLAREVIA,146,0.01
FERRETO,144,0.01
GALEANO,144,0.01
TRUJILLO,144,0.01
ARDON,144,0.01
GRIJALBA,143,0.01
GARAY,143,0.01
DOBLES,143,0.01
SCOTT,142,0.01
SIRIAS,140,0.01
MUNGUIA,139,0.01
CASARES,139,0.01
DEL VALLE,139,0.01
FREER,139,0.01
NOVOA,138,0.01
ZAMBRANA,138,0.01
VIVES,138,0.01
APARICIO,138,0.01
ZEPEDA,138,0.01
MONTANO,137,0.01
MONTES DE OCA,136,0.01
SANTOS,135,0.01
SARMIENTO,135,0.01
SABALLOS,135,0.01
APUY,135,0.01
ARBUROLA,134,0.01
VILLAPLANA,134,0.01
CAMPBELL,133,0.01
ARRIOLA,133,0.01
SALDAÑA,132,0.01
LEZAMA,132,0.01
CAÑAS,132,0.01
MOJICA,131,0.01
ROBLETO,130,0.01
BERRIOS,130,0.01
CORTEZ,128,0.01
URIBE,128,0.01
LEPIZ,127,0.01
DIXON,127,0.01
RIZO,126,0.01
TINOCO,125,0.01
MORICE,125,0.01
QUIJANO,125,0.01
CASANOVA,124,0.01
MARTIN,124,0.01
CORNEJO,123,0.01
SAGOT,122,0.01
SAAVEDRA,121,0.01
SOMARRIBAS,121,0.01
INFANTE,121,0.01
TORRENTES,120,0.01
VIZCAINO,120,0.01
FRANCO,119,0.01
CHING,119,0.01
VALLEJO,118,0.01
ARCIA,118,0.01
ORELLANA,118,0.01
RICHMOND,115,0.01
FENG,115,0.01
SIERRA,115,0.01
GARRIDO,115,0.01
GONGORA,114,0.01
VELAZQUEZ,114,0.01
CAVALLINI,114,0.01
PALOMO,114,0.01
BALLADARES,113,0.01
SAUMA,113,0.01
ARRONIS,113,0.01
GAZEL,113,0.01
AMAYA,112,0.01
CARRERA,112,0.01
BAEZ,112,0.01
CAAMAÑO,112,0.01
ECHANDI,112,0.01
CONCEPCION,111,0.01
AYALA,111,0.01
JAUBERT,111,0.01
SAMUDIO,110,0.01
VIVAS,110,0.01
LINARES,110,0.01
GALLEGOS,110,0.01
OSORNO,109,0.01
PIÑA,108,0.01
BELLO,108,0.01
ALLEN,108,0.01
VALDIVIA,108,0.01
LARGAESPADA,108,0.01
ARRONES,108,0.01
MOSQUERA,107,0.01
SOZA,107,0.01
DELGADILLO,107,0.01
BALMACEDA,107,0.01
GURDIAN,107,0.01
PRADA,107,0.01
PAZ,106,0.01
HALL,106,0.01
MARQUEZ,106,0.01
BEDOYA,106,0.01
LASCAREZ,105,0.01
SUAZO,104,0.01
VADO,104,0.01
CERDA,104,0.01
ACON,104,0.01
IZAGUIRRE,104,0.01
FOURNIER,103,0.01
FUNG,102,0.01
LANG,102,0.01
SALMERON,101,0.01
WATSON,101,0.01
JACKSON,101,0.01
ROBINSON,101,0.01
BOJORGE,101,0.01
WEBB,101,0.01
PARAJELES,100,0.01
MORAN,100,0.01
MATTEY,100,0.01
HODGSON,99,0.01
GIL,99,0.01
LIN,99,0.01
WRIGHT,98,0.01
EDWARDS,98,0.01
PASTOR,98,0.01
VAGLIO,97,0.01
ROBERT,97,0.01
JONES,96,0.01
IRIAS,96,0.01
TORREZ,96,0.01
CORREA,95,0.01
GODOY,94,0.01
