Apellido,Personas,Porcentaje
TAYLOR,59,0.02
GAMEZ,59,0.02
PARAJELES,57,0.02
CASANOVA,57,0.02
ANDRADE,57,0.02
MONESTEL,56,0.02
VICTOR,56,0.02
ARANA,56,0.02
WONG,56,0.02
LI,56,0.02
CECILIANO,55,0.02
CABALLERO,55,0.02
DINARTE,55,0.02
UGARTE,55,0.02
CASASOLA,55,0.02
VALLEJO,55,0.02
BERRIOS,55,0.02
CAMARENO,54,0.02
QUINTANILLA,54,0.02
HENRIQUEZ,54,0.02
ORIAS,53,0.01
TIJERINO,53,0.01
PHILLIPS,53,0.01
CHEN,53,0.01
VALDIVIA,53,0.01
RUEDA,52,0.01
MONCADA,52,0.01
SEGNINI,52,0.01
SALAMANCA,52,0.01
SEAS,51,0.01
SIRIAS,51,0.01
SALINAS,51,0.01
WU,51,0.01
SAN LEE,51,0.01
MACHADO,50,0.01
BURGOS,50,0.01
WILLIAMS,50,0.01
PAEZ,49,0.01
SUAZO,49,0.01
MARENCO,48,0.01
ROBLETO,48,0.01
ORELLANA,48,0.01
ARAICA,48,0.01
ZELAYA,47,0.01
FRANCO,47,0.01
MUNGUIA,47,0.01
ZAVALA,47,0.01
ECHEVERRIA,46,0.01
VALENZUELA,46,0.01
BELLIDO,46,0.01
SALMERON,45,0.01
MANZANARES,45,0.01
LINARES,45,0.01
ARCIA,45,0.01
LANUZA,45,0.01
PORTILLA,44,0.01
MONTANO,44,0.01
WILSON,44,0.01
VIVES,44,0.01
BORGE,43,0.01
LEZAMA,43,0.01
PORTILLO,43,0.01
VILLANUEVA,42,0.01
APU,42,0.01
ZAMBRANA,42,0.01
SARMIENTO,42,0.01
APUY,42,0.01
GATJENS,42,0.01
NIÑO,42,0.01
NOVOA,41,0.01
SANDINO,41,0.01
MOJICA,41,0.01
MEOÑO,41,0.01
GALAGARZA,41,0.01
SLON,41,0.01
OLIVAS,40,0.01
WATSON,40,0.01
CAMPBELL,40,0.01
TORRENTES,40,0.01
RIZO,40,0.01
MONTEALEGRE,40,0.01
ALONSO,40,0.01
GRANDA,40,0.01
BARBERENA,40,0.01
TAPIA,39,0.01
GODOY,39,0.01
AREVALO,39,0.01
VILLANEA,39,0.01
CARPIO,38,0.01
DOMINGUEZ,38,0.01
VADO,38,0.01
WEBB,38,0.01
PAGANI,38,0.01
OLIVARES,37,0.01
TRAÑA,37,0.01
MURCIA,37,0.01
ABURTO,37,0.01
MERCADO,37,0.01
VIDAL,37,0.01
AMPIE,36,0.01
LEWIS,36,0.01
GALLARDO,36,0.01
JOHNSON,36,0.01
BAEZ,36,0.01
JONES,36,0.01
LAGUNA,36,0.01
GUERRA,35,0.01
SCOTT,35,0.01
CORNEJO,35,0.01
GRANT,34,0.01
VIVAS,34,0.01
PATIÑO,34,0.01
LARIOS,34,0.01
GRAJALES,34,0.01
PARREAGUIRRE,34,0.01
TENCIO,33,0.01
BELLO,33,0.01
JACKSON,33,0.01
ROQUE,33,0.01
MENDIETA,33,0.01
AYMERICH,33,0.01
ACHIO,33,0.01
ALAS,33,0.01
SALDAÑA,32,0.01
GARAY,32,0.01
PICHARDO,32,0.01
PAVON,32,0.01
VALDEZ,32,0.01
HODGSON,32,0.01
AVELLAN,32,0.01
FREER,32,0.01
ROSABAL,32,0.01
CASTAÑEDA,31,0.01
BETANCOURT,31,0.01
ARDON,31,0.01
TERCERO,31,0.01
COLLADO,30,0.01
TALAVERA,30,0.01
DAVIS,30,0.01
TINOCO,30,0.01
ODIO,30,0.01
SAAVEDRA,30,0.01
ZEPEDA,30,0.01
CACERES,30,0.01
AYALA,30,0.01
CAAMAÑO,30,0.01
BALDI,30,0.01
DENGO,30,0.01
PERLA,30,0.01
PANTOJA,30,0.01
LOAICIGA,29,0.01
POTOY,29,0.01
LEZCANO,29,0.01
VALDES,29,0.01
TORREZ,29,0.01
REY,29,0.01
LUMBI,29,0.01
LASCAREZ,29,0.01
LAU,29,0.01
PARRALES,28,0.01
AMAYA,28,0.01
LEE,28,0.01
ELLIS,28,0.01
OSORIO,28,0.01
VALDELOMAR,28,0.01
ARTOLA,28,0.01
GIL,28,0.01
ARROLIGA,28,0.01
CAVALLINI,28,0.01
GALLO,27,0.01
PIÑA,27,0.01
RANGEL,27,0.01
CORREA,27,0.01
SOMARRIBAS,27,0.01
MARQUEZ,27,0.01
PALAVICINI,27,0.01
CONCEPCION,26,0.01
CARRION,26,0.01
THOMPSON,26,0.01
JENKINS,26,0.01
REID,26,0.01
ALEGRIA,26,0.01
ROBINSON,26,0.01
CHING,26,0.01
VELEZ,26,0.01
ROA,26,0.01
CARDOZA,26,0.01
RUBIO,26,0.01
WALLACE,26,0.01
AJUN,26,0.01
RECINOS,26,0.01
TRUJILLO,25,0.01
SOZA,25,0.01
DEL VALLE,25,0.01
GORGONA,25,0.01
TREMINIO,25,0.01
MONTERREY,25,0.01
FONTANA,25,0.01
MEDAL,25,0.01
CORTEZ,24,0.01
NIETO,24,0.01
OSORNO,24,0.01
