Apellido,Personas,Porcentaje
MOSCOSO,111,0.02
BELLO,110,0.02
GUERRA,108,0.02
LOAICIGA,107,0.02
PARRALES,107,0.02
ROBLETO,107,0.02
GATJENS,107,0.02
JAEN,104,0.02
CHAN,104,0.02
PHILLIPS,104,0.02
GATGENS,104,0.02
VILCHEZ,102,0.02
DOMINGUEZ,102,0.02
MARENCO,101,0.01
NOVOA,100,0.01
OLIVARES,98,0.01
BORGE,98,0.01
JENKINS,98,0.01
MENOCAL,98,0.01
KOPPER,98,0.01
TINOCO,97,0.01
IBARRA,96,0.01
ALCOCER,96,0.01
BOGARIN,96,0.01
TRUJILLO,96,0.01
GALLO,95,0.01
FLETES,93,0.01
MORAN,93,0.01
VALENCIA,92,0.01
BOLIVAR,92,0.01
NAVAS,92,0.01
BRIONES,91,0.01
CORDONERO,90,0.01
SOZA,89,0.01
PILARTE,89,0.01
MONCADA,88,0.01
BONICHE,88,0.01
GONGORA,88,0.01
ARROLIGA,88,0.01
GODOY,87,0.01
LAGUNA,87,0.01
MALTES,87,0.01
MONGRILLO,87,0.01
SANDINO,85,0.01
POVEDA,84,0.01
HENRIQUEZ,84,0.01
LARIOS,83,0.01
CARDONA,83,0.01
CARAVACA,82,0.01
LEZAMA,82,0.01
VADO,82,0.01
ZEPEDA,82,0.01
UBAU,82,0.01
VILLAFUERTE,81,0.01
LINARES,81,0.01
CARRION,80,0.01
IRIGOYEN,80,0.01
ASTUA,79,0.01
BROWN,79,0.01
AMPIE,79,0.01
CECILIANO,78,0.01
QUINTERO,78,0.01
CHIROLDES,78,0.01
QUINTANILLA,77,0.01
MALESPIN,77,0.01
SORO,77,0.01
SALMERON,76,0.01
COLLADO,76,0.01
AMAYA,76,0.01
JAIME,76,0.01
TAISIGUE,76,0.01
SALINAS,75,0.01
CAJINA,75,0.01
GARBANZO,74,0.01
DE LA O,74,0.01
GRIJALBA,74,0.01
SUAZO,74,0.01
ROLDAN,73,0.01
ATENCIO,73,0.01
MERCADO,73,0.01
CONDEGA,73,0.01
VALDELOMAR,73,0.01
TAPIA,72,0.01
ESCAMILLA,72,0.01
OCON,72,0.01
VALERIN,71,0.01
GAMEZ,71,0.01
SOMARRIBAS,71,0.01
TENCIO,70,0.01
FRANCO,70,0.01
ZAVALA,70,0.01
LANZA,69,0.01
MOJICA,68,0.01
CAMARENO,67,0.01
MUNGUIA,67,0.01
DELGADILLO,67,0.01
ORIAS,66,0.01
RUEDA,66,0.01
SELVA,66,0.01
VILLANUEVA,65,0.01
LEZCANO,65,0.01
VALLEJO,65,0.01
ROBLERO,65,0.01
MACHADO,64,0.01
RICHMOND,64,0.01
TORREZ,64,0.01
SOTELA,63,0.01
DINARTE,61,0.01
APU,61,0.01
URTECHO,61,0.01
LIRA,61,0.01
VILLANEA,61,0.01
CHANTO,60,0.01
ZELAYA,60,0.01
CORTEZ,60,0.01
TERCERO,60,0.01
GALVEZ,60,0.01
SIEZAR,58,0.01
MONTALBAN,57,0.01
SEAS,56,0.01
TORUÑO,56,0.01
BETANCOURT,56,0.01
BARILLAS,56,0.01
REDONDO,55,0.01
VIZCAINO,55,0.01
SOJO,54,0.01
ABURTO,54,0.01
MEMBREÑO,54,0.01
SALVATIERRA,54,0.01
CERNA,54,0.01
PERERA,54,0.01
GALARZA,54,0.01
SANTOS,53,0.01
MOSQUERA,53,0.01
PASOS,53,0.01
BALLADARES,53,0.01
CHEN,52,0.01
LEE,52,0.01
OSORIO,52,0.01
CANTON,52,0.01
ESTRELLA,52,0.01
MONGRIO,52,0.01
APARICIO,51,0.01
RIZO,51,0.01
CHEVES,51,0.01
CACERES,51,0.01
TELLES,51,0.01
DOBLES,50,0.01
HUETE,50,0.01
BRIZUELA,49,0.01
ANDRADE,49,0.01
PATIÑO,49,0.01
GAZO,49,0.01
VELEZ,49,0.01
SMITH,48,0.01
CASASOLA,48,0.01
PIÑA,48,0.01
CARRERA,48,0.01
PAZ,48,0.01
GARAY,47,0.01
SALAMANCA,47,0.01
RAYO,47,0.01
OLIVAR,47,0.01
OJEDA,47,0.01
MILLON,47,0.01
VILLAVICENCIO,46,0.01
ROQUE,46,0.01
VALLECILLO,46,0.01
WEBB,46,0.01
ZAMBRANO,46,0.01
BATISTA,45,0.01
ROSTRAN,45,0.01
DARCIA,45,0.01
CANTILLO,44,0.01
WONG,44,0.01
DUARTES,44,0.01
CASTAÑEDA,43,0.01
SALDAÑA,43,0.01
PAVON,43,0.01
CHARPENTIER,43,0.01
CERDA,43,0.01
ALMANZA,43,0.01
SAGOT,43,0.01
MEJICANO,43,0.01
SAMUDIO,42,0.01
OSORNO,42,0.01
ARRIOLA,42,0.01
MARQUEZ,42,0.01
NOVO,42,0.01
PAISANO,42,0.01
ESPINO,42,0.01
GALIANO,42,0.01
CORNEJO,41,0.01
PRIETO,41,0.01
SAAVEDRA,41,0.01
ARCIA,41,0.01
SABALLOS,41,0.01
LARGAESPADA,41,0.01
ALARCON,41,0.01
OCHOA,41,0.01
LANUZA,41,0.01
VALLES,41,0.01
ARISTA,41,0.01
GALLARDO,40,0.01
MENDIETA,40,0.01
VALDIVIA,40,0.01
PALACIO,40,0.01
BARTH,40,0.01
MARCIA,40,0.01
THOMAS,39,0.01
WU,39,0.01
ORELLANA,39,0.01
OPORTO,39,0.01
ARTOLA,39,0.01
TREMINIO,39,0.01
ORDEÑANA,39,0.01
MARADIAGA,39,0.01
LAURENT,39,0.01
APONTE,39,0.01
GATICA,39,0.01
INDUNI,39,0.01
CASARES,38,0.01
CHANG,38,0.01
POMARES,38,0.01
PORTILLO,38,0.01
TOLEDO,38,0.01
SAUMA,38,0.01
SABALLO,38,0.01
MONTERREY,38,0.01
MALTEZ,38,0.01
YODER,38,0.01
KOSCHNY,38,0.01
PAEZ,37,0.01
VALENZUELA,37,0.01
PRUDENTE,37,0.01
PIÑEIRO,37,0.01
LI,36,0.01
ARDON,36,0.01
ESCOTO,36,0.01
LAINES,36,0.01
CABALCETA,35,0.01
ECHEVERRIA,35,0.01
TORRENTES,35,0.01
GORGONA,35,0.01
BETETA,35,0.01
GUDIEL,35,0.01
DUECK,35,0.01
THOMPSON,34,0.01
VILLACHICA,34,0.01
ARRONES,34,0.01
DESANTI,34,0.01
URRUTIA,34,0.01
ORLICH,34,0.01
GUELL,34,0.01
CONCEPCION,33,0.00
LEPIZ,33,0.00
SCOTT,33,0.00
ALONSO,33,0.00
AREVALO,33,0.00
IZAGUIRRE,33,0.00
GONZALO,33,0.00
ARZON,33,0.00
WILLIAMS,32,0.00
WILSON,32,0.00
MORGAN,32,0.00
AVELLAN,32,0.00
SOBALBARRO,32,0.00
MATUS,32,0.00
ESPINOSA,32,0.00
BENITEZ,32,0.00
CORDONCILLO,32,0.00
MUNGRILLO,32,0.00
CARPIO,31,0.00
HALL,31,0.00
MILLER,31,0.00
QUIJANO,31,0.00
GIL,31,0.00
LAGOS,31,0.00
ADANIS,30,0.00
BATRES,30,0.00
VELA,30,0.00
BAZAN,30,0.00
LAGO,30,0.00
RIGIONI,30,0.00
DAVIS,29,0.00
VALDEZ,29,0.00
GALAGARZA,29,0.00
SEGNINI,29,0.00
LASCAREZ,29,0.00
URIBE,29,0.00
BELTRAN,29,0.00
OTERO,29,0.00
MATUTE,29,0.00
LOAISIGA,29,0.00
BUSTO,29,0.00
SALABLANCA,29,0.00
REQUENES,29,0.00
TAYLOR,28,0.00
VIVES,28,0.00
ANDERSON,28,0.00
BERRIOS,28,0.00
PASTRANA,28,0.00
BEDOYA,28,0.00
ALGUERA,28,0.00
BALDI,28,0.00
DORMOND,28,0.00
CATON,28,0.00
VELIZ,28,0.00
BERROTERAN,28,0.00
LAINEZ,28,0.00
SACIDA,28,0.00
CORREA,27,0.00
ACHIO,27,0.00
PASTRAN,27,0.00
DALOLIO,27,0.00
CUNDANO,27,0.00
PINTO,26,0.00
BOJORGE,26,0.00
ERAS,26,0.00
POLANCO,26,0.00
TEJADA,26,0.00
ÑURINDA,26,0.00
BLAS,26,0.00
BUZANO,25,0.00
HODGSON,25,0.00
WALKER,25,0.00
OLMOS,25,0.00
MORUN,25,0.00
ROA,25,0.00
REINA,25,0.00
QUIROZ,25,0.00
CASCO,25,0.00
MALDONADO,25,0.00
PAZOS,25,0.00
FALCON,25,0.00
UBEDA,25,0.00
QUEZADA,25,0.00
LUQUEZ,25,0.00
AGUINAGA,25,0.00
MARTIN,24,0.00
ARAICA,24,0.00
RECIO,24,0.00
CID,24,0.00
FUMERO,24,0.00
YGLESIAS,24,0.00
TERAN,24,0.00
ARAUJO,24,0.00
SANDIGO,24,0.00
DODERO,24,0.00
LLOBET,24,0.00
REGALADO,24,0.00
CAMPBELL,23,0.00
JACAMO,23,0.00
URIARTE,23,0.00
JUNEZ,23,0.00
FAERRON,23,0.00
BORGES,23,0.00
PULIDO,23,0.00
LEMAITRE,23,0.00
MENJIVAR,23,0.00
PALADINO,23,0.00
BUCARDO,23,0.00
LY,23,0.00
STANLEY,23,0.00
DIJERES,22,0.00
BARBERENA,22,0.00
LATINO,22,0.00
SOMARRIBA,22,0.00
GIRON,22,0.00
RIGGIONI,22,0.00
LOSILLA,22,0.00
MONTEALTO,22,0.00
AVERRUZ,22,0.00
LEWIS,21,0.00
GRANT,21,0.00
WATSON,21,0.00
SARMIENTO,21,0.00
IGLESIAS,21,0.00
WHITE,21,0.00
AYALA,21,0.00
LINDO,21,0.00
ALANIS,21,0.00
SOTELO,21,0.00
ABELLAN,21,0.00
COLOMER,21,0.00
ESPINALES,21,0.00
TABLADA,21,0.00
VALDERRAMA,21,0.00
FUERTES,21,0.00
BARNETT,21,0.00
REQUENE,21,0.00
RIQUELME,21,0.00
REID,20,0.00
WRIGHT,20,0.00
IROLA,20,0.00
SAMUELS,20,0.00
PALOMO,20,0.00
CARDOZA,20,0.00
PITTI,20,0.00
CUEVAS,20,0.00
BRAIS,20,0.00
ESCORCIA,20,0.00
GOLCHER,20,0.00
JAIKEL,20,0.00
OCAMPOS,20,0.00
VILLAREBIA,20,0.00
AREND,20,0.00
JACKSON,19,0.00
VALDES,19,0.00
ALEGRIA,19,0.00
MORUA,19,0.00
VILLAREVIA,19,0.00
CAÑAS,19,0.00
ROVIRA,19,0.00
FUNES,19,0.00
SANARRUSIA,19,0.00
BERTARIONI,19,0.00
OCONOR,19,0.00
GAGO,19,0.00
OSEJO,19,0.00
FITORIA,19,0.00
TRIGUERO,19,0.00
ZAMORAN,19,0.00
ARCEDA,19,0.00
MOLINARI,19,0.00
URPI,19,0.00
CHASSOUL,19,0.00
SARAVIA,18,0.00
DEL VALLE,18,0.00
PIMENTEL,18,0.00
AYMERICH,18,0.00
ARGUIJO,18,0.00
RUBIO,18,0.00
ESTELLER,18,0.00
UMANZOR,18,0.00
LANZAS,18,0.00
ALANIZ,18,0.00
SOBALVARRO,18,0.00
USAGA,18,0.00
BENAVIDEZ,18,0.00
SORIANO,18,0.00
ESTEVANOVICH,18,0.00
PEDROZA,18,0.00
NEWMAN,18,0.00
BULLIO,18,0.00
FRIESEN,18,0.00
SHION,18,0.00
RANGEL,17,0.00
CISNERO,17,0.00
BROOKS,17,0.00
MILANES,17,0.00
GADEA,17,0.00
URROZ,17,0.00
CRESPO,17,0.00
TORRENTE,17,0.00
ALAS,17,0.00
RODAS,17,0.00
NASSAR,17,0.00
ARELLANO,17,0.00
XATRUCH,17,0.00
AJOY,17,0.00
ICABALCETA,17,0.00
DONZON,17,0.00
QUINTEROS,17,0.00
ARAGONES,17,0.00
MATUZ,17,0.00
STEVANOVICH,17,0.00
GOUSSEN,17,0.00
GUILTRES,17,0.00
ELLIS,16,0.00
VIDAL,16,0.00
GORDON,16,0.00
JONES,16,0.00
CHING,16,0.00
FENG,16,0.00
SIMPSON,16,0.00
ALAN,16,0.00
JARAMILLO,16,0.00
VAZQUEZ,16,0.00
CASERES,16,0.00
HUEZO,16,0.00
PASTRANO,16,0.00
COLINDRES,16,0.00
DOWNS,16,0.00
SOTOMAYOR,16,0.00
DIMARCO,16,0.00
FARIÑAS,16,0.00
AROSTEGUI,16,0.00
CASTAING,16,0.00
HOFFMAN,16,0.00
TREVIÑO,16,0.00
CHIANG,16,0.00
VIDEA,16,0.00
ARGEÑAL,16,0.00
CERROS,16,0.00
LANDERO,16,0.00
PAIZANO,16,0.00
BARILLA,16,0.00
WOLMERS,16,0.00
ODIO,15,0.00
DIXON,15,0.00
GUARDIA,15,0.00
VELAZQUEZ,15,0.00
SIERRA,15,0.00
GURDIAN,15,0.00
GAZEL,15,0.00
FARRIER,15,0.00
BALDELOMAR,15,0.00
PANA,15,0.00
LUGO,15,0.00
ROSES,15,0.00
ALI,15,0.00
WALLACE,15,0.00
CARRASCO,15,0.00
HARLEY,15,0.00
GUARDADO,15,0.00
SEGREDA,15,0.00
BETANCUR,15,0.00
GARZON,15,0.00
SAMBRANA,15,0.00
YESCA,15,0.00
CALLEJAS,15,0.00
DE LA PEÑA,15,0.00
OLIVERA,15,0.00
DE LA ROCHA,15,0.00
BELLORIN,15,0.00
SU,15,0.00
REYNOSA,15,0.00
KIEWIT,15,0.00
JOHNSON,14,0.00
NIETO,14,0.00
MEOÑO,14,0.00
MONTEALEGRE,14,0.00
PIÑAR,14,0.00
NELSON,14,0.00
BUITRAGO,14,0.00
ARGUETA,14,0.00
CAAMAÑO,14,0.00
BOLANDI,14,0.00
ARRONIS,14,0.00
CARMIOL,14,0.00
BACA,14,0.00
GRANJA,14,0.00
TOBAL,14,0.00
PAREDES,14,0.00
CARCAMO,14,0.00
ALVARENGA,14,0.00
SAN LEE,14,0.00
VERA,14,0.00
BADO,14,0.00
MONTANARO,14,0.00
BIANCO,14,0.00
SANTIESTEBAN,14,0.00
WRAY,14,0.00
JOYA,14,0.00
GARMENDIA,14,0.00
SAMUEL,14,0.00
DUMAS,14,0.00
CADENA,14,0.00
CERON,14,0.00
MACRE,14,0.00
BELLOS,14,0.00
MALUEÑOS,14,0.00
SWARTZENTRUBER,14,0.00
GALLER,14,0.00
ILAMA,13,0.00
MONTEZUMA,13,0.00
MORICE,13,0.00
PICON,13,0.00
ROSS,13,0.00
CARBONERO,13,0.00
CARCACHE,13,0.00
QUIÑONES,13,0.00
ANDINO,13,0.00
JUNES,13,0.00
UNFRIED,13,0.00
ESPINACH,13,0.00
LEMUS,13,0.00
GUIER,13,0.00
USEDA,13,0.00
PRAVIA,13,0.00
BRISTAN,13,0.00
BLANDINO,13,0.00
DOSMAN,13,0.00
CORAO,13,0.00
QUIJADA,13,0.00
BORLOZ,13,0.00
CADRANO,13,0.00
FARGAS,13,0.00
AMEN,13,0.00
ARANCIBIA,13,0.00
PINELL,13,0.00
HEGG,13,0.00
VALDERRAMOS,12,0.00
EDWARDS,12,0.00
GRAJAL,12,0.00
CLARK,12,0.00
SCHMIDT,12,0.00
MORRIS,12,0.00
MC DONALD,12,0.00
ABREGO,12,0.00
TORTOS,12,0.00
PRADA,12,0.00
ZHENG,12,0.00
DE LA CRUZ,12,0.00
VIGIL,12,0.00
ABADIA,12,0.00
VILLAR,12,0.00
ROSABAL,12,0.00
ZAVALETA,12,0.00
MENDIOLA,12,0.00
MERLO,12,0.00
RAUDES,12,0.00
DUQUE,12,0.00
LEYTON,12,0.00
SERRATO,12,0.00
LORIO,12,0.00
BETANCO,12,0.00
SIU,12,0.00
SOMOZA,12,0.00
BIASETTI,12,0.00
BULACAR,12,0.00
WATTSON,12,0.00
