Apellido,Personas,Porcentaje
VILLAVICENCIO,471,0.01
RANGEL,470,0.01
LEZAMA,469,0.01
VIVAS,466,0.01
LEPIZ,461,0.01
ALCOCER,459,0.01
JOHNSON,459,0.01
VIVES,458,0.01
ABURTO,456,0.01
MERCADO,454,0.01
MUNGUIA,452,0.01
PHILLIPS,452,0.01
CARRION,451,0.01
CAMPBELL,450,0.01
CHEN,450,0.01
APARICIO,443,0.01
THOMPSON,437,0.01
TORRENTES,437,0.01
BONICHE,431,0.01
HENRIQUEZ,430,0.01
ROBLETO,430,0.01
AMAYA,425,0.01
VALLEJO,421,0.01
CARRERA,417,0.01
JENKINS,416,0.01
SUAZO,414,0.01
VADO,414,0.01
SCOTT,408,0.01
WU,407,0.01
RIZO,406,0.01
GARAY,405,0.01
PICHARDO,396,0.01
JACKSON,393,0.01
REID,393,0.01
LAZARO,391,0.01
BOGARIN,390,0.01
CORTEZ,390,0.01
LEE,390,0.01
NIETO,389,0.01
BAEZ,387,0.01
ELLIS,387,0.01
VALDERRAMOS,386,0.01
MOSCOSO,385,0.01
OSORIO,385,0.01
CASARES,382,0.01
DAVIS,378,0.01
VALDES,378,0.01
PAVON,376,0.01
ARBUROLA,375,0.01
TINOCO,371,0.01
GONGORA,368,0.01
CHANG,366,0.01
WRIGHT,365,0.01
TRUJILLO,363,0.01
ALEGRIA,362,0.01
LINARES,359,0.01
VIDAL,358,0.01
CHARPENTIER,357,0.01
SARMIENTO,354,0.01
GAMEZ,353,0.01
GORDON,349,0.01
MEOÑO,349,0.01
PINTO,349,0.01
MEMBREÑO,348,0.01
PASOS,348,0.01
UVA,348,0.01
PAZ,347,0.01
ODIO,346,0.01
ALLEN,344,0.01
ROQUE,342,0.01
DOBLES,338,0.01
VALLECILLO,338,0.01
CORNEJO,337,0.01
MONTEALEGRE,337,0.01
DUARTES,335,0.01
MORUA,334,0.01
OSORNO,334,0.01
PRIETO,334,0.01
SAAVEDRA,334,0.01
BUZANO,332,0.01
CORREA,332,0.01
PIÑAR,332,0.01
VALDEZ,332,0.01
ARCIA,330,0.01
CONDEGA,330,0.01
SOMARRIBAS,330,0.01
ZEPEDA,329,0.01
ARDON,328,0.01
CERDA,327,0.01
ROBINSON,327,0.01
JONES,326,0.01
SARAVIA,326,0.01
BOJORGE,325,0.01
HODGSON,325,0.01
ORELLANA,325,0.01
VALDELOMAR,325,0.01
CHING,324,0.01
ARRIOLA,321,0.01
IRIAS,321,0.01
GATGENS,320,0.01
ANDERSON,318,0.01
GALAGARZA,315,0.01
DIXON,313,0.01
SOZA,313,0.01
MENDIETA,312,0.01
VALDIVIA,311,0.01
HALL,310,0.01
BERRIOS,309,0.01
TERCERO,308,0.01
AVELLAN,307,0.01
EDWARDS,307,0.01
LAGUNA,302,0.01
QUIEL,302,0.01
